20 38
-158323 -29415 94248 120610 -116101 1376 108745 15071 -9686 -3748 -100096 59013 -2696 32951 7157 -4683 -16602 -1691 -49793 -2013 -17644 -1477 25028 19171 24137 26316 -31522 -46156 -39200 1382 35210 -36954 -10433 5804 35761 -65522 15302 -12411
-115458 -168612 -240823 5299 10775 8667 -67080 44158 902 334791 -147129 89948 43610 -643 -322827 65814 -119955 -191642 55715 -1644 -19941 -2596 4673 -3707 57790 27349 37634 -48619 93771 29796 -12354 65921 -6380 -8414 1547 12528 -20840 31488
-144062 -268367 63674 102486 -21927 58955 -34990 99171 -75280 -62574 31801 -52432 -47072 68185 18998 -23721 60161 18520 58828 -22274 17507 70918 -19076 44541 38755 73105 -27639 -43820 -70094 57259 -1086 59736 32369 -53295 -66188 198 -59158 13649
-504024 90420 7750 -92900 -72172 -93341 -12349 6796 50929 -21360 70854 23987 20279 3487 11642 -9821 -27654 7042 -36508 -69804 6308 42322 30413 -1470 15045 8845 -40921 26963 -8893 23522 41215 -6758 69034 -73158 42306 78694 16778 -115276
130179 701351 137008 94243 198507 257335 15266 -12832 -251477 19983 164126 238099 -45395 75564 79946 -22555 -195588 8185 -41022 -2237 -3291 -15217 31062 32066 15583 66486 -67002 -51797 21437 1576 -14651 392 -2752 13323 47168 -12446 3560 -9248
-507355 123453 29038 -113720 -81753 -73567 -14877 -13844 56937 -14848 53047 10456 -21993 22393 -53969 -35319 1626 -17159 -39086 23340 -318 -17255 -24090 87941 5582 47520 77388 -50133 25177 7634 -13269 1542 -89879 27447 -43214 32784 -31866 -6272
32981 -62077 170787 -227566 18656 -118431 -115198 -76304 -80354 76174 32592 58874 19454 -15560 40456 -6911 -44864 -21943 72827 14374 -20883 15725 -131696 -51312 -95433 64721 -18577 -36728 -29286 -14633 -125558 25771 18738 -36088 -54660 -25170 28316 -12870
493441 -33662 214083 -209921 -125458 195620 -115883 2036 165442 -6 -60951 -33217 14704 -22212 -28383 8599 59048 11440 -16036 -3407 -7877 -11919 2871 1869 7051 -13874 11561 -4581 -39738 -15157 9892 -10652 4161 -78 -23047 -50167 -93022 -193498
-132493 -247823 149175 90051 51228 126980 -60255 -10842 -67790 -5222 -103784 40518 -3278 832 -10445 -254 20083 -8432 81725 345 -3487 3814 -114 -8197 -2068 -7760 3864 -9579 -21848 3623 8119 -16421 6516 -3901 16512 -13437 -2896 11453
206107 -203628 -276146 269858 -91625 90029 4566 -341167 -11428 -434082 22469 -123500 -62487 -51643 -149781 -227382 -182248 -20513 -8609 -51801 -28732 11798 -71668 -141759 153952 -222003 -106708 -111395 61578 45554 42604 100728 5385 -4361 -15651 -20376 -3645 -628
502806 265470 -111625 40310 202219 -293806 44272 534 16986 -465 -17697 -197531 23911 -50753 -6038 4221 21950 21967 -88898 -4142 9186 -5625 -15223 -14949 -7064 -39918 39672 32307 -4966 -1521 3391 7432 -1864 3742 -36160 27297 6073 -15254
-343999 -163962 308681 11822 327 51387 14326 -26 25408 -2709 -16831 -52535 17438 -4649 -8175 17254 60454 -2495 -3093 9149 23879 -57825 49641 -11462 -11135 13983 -23097 -21624 -15033 49738 -32316 -22812 -7653 -6701 8957 -2276 4233 9559
-215427 72941 150973 25202 39924 -15435 88890 28459 156341 -7973 14324 -64090 13024 71028 2466 -6986 -47037 55955 25774 -32985 -75717 70977 -17264 -8298 25401 5832 24556 -1227 -39133 -68014 13004 -331 -8535 7497 -18931 10567 10506 -31364
-234594 300312 -8974 -117702 57777 -31026 -105463 26666 -13609 -4668 123098 112674 -78070 94066 4174 -4328 22587 -125666 32405 -58480 -20824 -149539 -60320 -50802 -54242 -62127 48837 -67213 -178630 -1248 -37944 47261 33259 5019 81780 -91837 -30694 15305
-66251 119754 96056 47255 -81013 -51025 159782 -14907 125414 587 27858 -91464 17021 20055 -29607 8413 2415 114971 11285 -8166 -25242 10160 9140 11493 -11847 2474 12422 20943 33152 14236 17777 -54356 2239 -16728 30863 -114226 -1690 19259
-275481 72419 -562 -69363 46468 278 38604 3896 76629 -3682 -12801 1096 -172 5053 5303 354 -38015 44342 -2611 -195 300 -3986 -6098 -1816 -1192 -6118 8966 9440 9053 1925 17060 -12151 -7391 6989 -8683 18285 6014 -3494
91478 -195881 -122891 240473 -163077 -47526 -100034 15031 51007 41657 -118117 55253 -13461 20387 -1611 5926 -17752 -23487 9769 72128 75655 -93132 -161481 -36687 210298 79475 29539 7175 19583 -63847 10658 -37233 -144679 -90419 138657 -54343 9818 142
92159 104152 -129240 -241346 -215339 -128541 75860 14424 -6463 714 -2958 -30428 -4054 137630 -13682 -4287 64217 -46036 14065 704 67575 -171269 -55994 -21660 45630 49079 -16038 29738 48964 -42879 53839 4159 -10363 10333 28543 22917 -3359 -5439
